Programming Experience,Command-Line Experience,Version Control Experience,Markdown Experience,R Language Experience,Web Programming Experience,Operating System,I consider myself a,Cups of Coffee,Seahawks Fan,Interested in Informatics
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Never used it,Never used it,Used it a few times,Never used it,Windows,Other small animal person,0,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Intermediate user,Never used it,Used it a few times,Intermediate user,Mac OS X,dog person,1,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,1,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,dog person,2,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,cat person; dog person,1,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Used it a few times,Used it a few times,Never used it,Intermediate user,Mac OS X,dog person,0,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Never used it,Never used it,Never used it,Never used it,Intermediate user,Mac OS X,cat person,2,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Used it a few times,Never used it,Never used it,Intermediate user,Windows,dog person,0,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Expert user,Intermediate user,Used it a few times,Used it a few times,Expert user,Mac OS X,Other Just a Person,1,Yes,Not sure
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Windows,dog person,0,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Used it a few times,Windows,dog person,1,Yes,Not sure
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,0.5,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Intermediate user,Intermediate user,Intermediate user,Never used it,Intermediate user,Mac OS X,cat person; dog person,0,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Used it a few times,Never used it,Never used it,Used it a few times,Mac OS X,dog person,1,YES!!!,No
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Used it a few times,Never used it,Never used it,Intermediate user,Mac OS X,cat person,2,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,1,Yes,Not sure
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Used it a few times,Never used it,Never used it,Used it a few times,Windows,cat person; dog person; fish person,0.5,YES!!!,Not sure
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Never used it,Never used it,Used it a few times,Used it a few times,Windows,dog person,0,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Intermediate user,Windows,cat person; dog person,0,No,Yes
I've never written code,Never used it,Never used it,Never used it,Never used it,Never used it,Windows,dog person,1,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,dog person,0,Yes,Yes
I've experimented with simple programming,Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,1,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,1,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,cat person,1,No,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Intermediate user,Never used it,Never used it,Used it a few times,Mac OS X,dog person,0.33,No,No
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Used it a few times,Never used it,Never used it,Intermediate user,Windows,bird person,0,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,dog person,0,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Never used it,Mac OS X,bird person,2,No,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Never used it,Never used it,Never used it,Never used it,Windows,cat person; dog person,0,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Intermediate user,Never used it,Never used it,Never used it,Intermediate user,Mac OS X,cat person; dog person; fish person; bird person,3,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Intermediate user,Never used it,Never used it,Used it a few times,Windows,cat person; dog person,0,No,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Used it a few times,Never used it,Never used it,Used it a few times,Windows,Other comodo dragon person,0.1,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Used it a few times,Never used it,Never used it,Used it a few times,Mac OS X,dog person,1,No,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Never used it,Never used it,Never used it,Never used it,Mac OS X,cat person; dog person; Other occasional people person,0,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Used it a few times,Windows,dog person,0,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Used it a few times,Windows,dog person,2,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Intermediate user,Used it a few times,Never used it,Intermediate user,Windows,cat person; dog person,1,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Used it a few times,Windows,dog person,0,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Used it a few times,Never used it,Never used it,Used it a few times,Mac OS X,dog person,1,No,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Never used it,Never used it,Never used it,Never used it,Never used it,Windows,dog person,1,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Expert user,Expert user,Expert user,Never used it,Expert user,Mac OS X,cat person; dog person,0,No,Yes
I've experimented with simple programming,Never used it,Used it a few times,Never used it,Never used it,Intermediate user,Windows,dog person,0,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Expert user,Never used it,Never used it,Intermediate user,Mac OS X,dog person,0,No,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Intermediate user,Never used it,Never used it,Intermediate user,Mac OS X,dog person,0,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Expert user,Used it a few times,Expert user,Never used it,Expert user,Mac OS X,cat person,12,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Intermediate user,Windows,dog person,3,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Never used it,Never used it,Never used it,Never used it,Windows,cat person,0.25,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Used it a few times,Never used it,Never used it,Intermediate user,Windows,dog person,0,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Never used it,Mac OS X,cat person,4,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Never used it,Never used it,Never used it,Never used it,Windows,cat person,0,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Used it a few times,Never used it,Used it a few times,Used it a few times,Windows,dog person,3,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Used it a few times,Never used it,Used it a few times,Intermediate user,Windows,cat person; dog person; bird person,1,Yes,Yes
I've experimented with simple programming,Used it a few times,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,2,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,cat person; dog person; Other bunny person,0,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,1,YES!!!,No
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Never used it,Never used it,Never used it,Intermediate user,Windows,dog person,1,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Never used it,Never used it,Never used it,Intermediate user,Mac OS X,cat person,0,YES!!!,Not sure
"I have lots of experience with a programming language (e.g., CSE143+)",Expert user,Intermediate user,Intermediate user,Never used it,Expert user,Mac OS X,cat person; dog person; fish person; bird person,1,YES!!!,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Used it a few times,Used it a few times,Never used it,Never used it,Never used it,Mac OS X,dog person,2,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,Other not an animal person,1,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Intermediate user,Never used it,Never used it,Intermediate user,Windows,cat person,1,YES!!!,No
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Windows,Other i don't like animal. Sorz,2,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Used it a few times,Never used it,Never used it,Used it a few times,Mac OS X,dog person,0,Yes,Yes
I've experimented with simple programming,Used it a few times,Never used it,Never used it,Never used it,Never used it,Windows,cat person,0,No,Not sure
I've never written code,Never used it,Never used it,Never used it,Never used it,Used it a few times,Mac OS X,Other not an animal person,0,Yes,Not sure
I've experimented with simple programming,Used it a few times,Never used it,Never used it,Never used it,Used it a few times,Windows,dog person,0,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Intermediate user,Intermediate user,Never used it,Never used it,Used it a few times,Mac OS X,bird person,3,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Used it a few times,Used it a few times,Never used it,Used it a few times,Mac OS X,dog person,0.5,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Intermediate user,Intermediate user,Intermediate user,Intermediate user,Intermediate user,Mac OS X,dog person,0,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,3,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Used it a few times,Windows,dog person,1,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Used it a few times,Never used it,Windows,,1,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,1,Yes,Yes
"I have lots of experience with a programming language (e.g., CSE143+)",Intermediate user,Used it a few times,Never used it,Never used it,Expert user,Mac OS X,dog person,0,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Used it a few times,Never used it,Never used it,Used it a few times,Windows,dog person,1,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Intermediate user,Windows,bird person,1,No,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Windows,dog person,0,Yes,Yes
I've experimented with simple programming,Never used it,Never used it,Never used it,Never used it,Used it a few times,Windows,dog person,0,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Intermediate user,Never used it,Never used it,Never used it,Never used it,Mac OS X,Other minion person,4,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Never used it,Never used it,Never used it,Never used it,Mac OS X,dog person,1,Yes,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Never used it,Used it a few times,Never used it,Never used it,Used it a few times,Windows,cat person; dog person,1,YES!!!,Yes
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Intermediate user,Used it a few times,Used it a few times,Used it a few times,Intermediate user,Windows,bird person,1,YES!!!,Not sure
"I have moderate experience with a programming language (e.g., CSE1I have lots of experience with a programming language (e.g., CSE143+)2)",Used it a few times,Never used it,Never used it,Never used it,Intermediate user,Windows,dog person,0,YES!!!,Yes
